x,y,z,Class
3603.379,2385.445,924.877,4
2535.083,3739.817,626.862,1
3411.387,3674.855,1015.965,3
5440.842,2153.316,1065.263,2
4310.582,2600.476,966.971,3
6150.553,4248.018,598.848,0
4746.456,3247.044,989.765,3
3032.898,1801.65,980.107,3
1916.347,3426.268,1005.688,3
4093.64,2806.907,992.895,3
81.893,2152.929,543.179,0
3759.918,3733.779,875.956,3
4116.256,6243.555,550.142,0
3004.667,1165.667,938.333,1
2587.613,1360.659,814.115,4
4833.247,2785.558,1008.777,3
3288.077,4440.594,634.301,0
855.205,1905.764,988.053,3
3050.0,2350.0,810.0,1
5924.779,3598.073,941.761,4
1695.969,4701.783,576.473,0
5835.63,5542.991,1125.63,2
5058.789,2709.421,670.105,2
719.11,2318.413,647.963,1
3374.729,4537.176,585.728,0
4435.398,6184.513,718.702,1
4064.384,3855.712,1073.271,3
1041.483,1639.013,1025.697,3
2035.125,145.5,1198.875,1
1767.82,3213.929,1001.62,3
3263.628,3307.453,718.927,3
1158.38,2417.84,824.652,3
3944.471,877.964,875.367,3
2720.996,975.578,759.681,0
5618.836,6161.76,693.695,3
785.587,2630.0,576.201,1
2021.719,797.706,864.533,1
668.986,1041.449,1102.246,0
3362.941,695.882,620.588,1
3625.942,4047.846,729.154,1
2957.875,3215.688,651.509,3
5934.359,4038.974,711.538,2
3281.41,1786.652,1039.956,3
5080.617,763.376,705.302,3
3346.316,4185.936,586.959,0
6229.592,394.49,1286.327,1
588.724,1717.082,887.573,3
2988.816,2839.513,747.089,3
770.625,1111.161,1088.795,0
3124.091,2349.758,914.818,2
516.962,4021.185,878.484,4
3825.977,2568.575,1072.554,3
4895.506,2074.177,754.272,2
3809.442,4198.247,561.673,0
1127.794,187.938,537.361,3
2367.94,978.443,867.55,1
834.049,592.958,698.099,0
3476.717,4383.102,650.181,0
1171.606,3275.311,1023.63,3
3800.311,509.266,1148.402,3
843.974,3537.848,538.51,1
3280.785,4270.741,665.828,0
5605.799,1623.846,1155.562,1
5685.556,4460.606,717.172,2
4909.496,342.802,905.927,3
4553.26,2854.694,934.778,3
5565.034,3118.993,770.604,2
1786.416,1087.714,590.104,2
1482.15,1976.86,809.963,2
3192.063,3826.044,607.451,0
4982.25,3012.384,1141.249,3
5015.0,1340.263,944.649,2
4661.842,201.026,1140.471,3
4844.739,4397.387,782.334,0
4414.178,3489.079,1138.289,0
1475.204,3418.907,1062.102,3
3988.304,3924.261,623.783,1
3738.087,4294.279,665.828,0
470.992,5471.736,826.116,0
2991.25,1755.417,616.25,1
3104.737,116.316,893.158,2
1639.36,4850.438,1063.3,0
5371.849,897.815,674.958,1
1884.097,2071.736,719.583,2
3583.403,4366.702,603.141,0
1697.664,2484.89,553.359,1
5679.653,4176.597,1108.889,1
270.918,4900.032,677.824,1
6205.712,3190.031,1166.83,3
4736.857,1633.5,1281.857,2
2965.475,2392.793,1081.285,0
2021.887,1799.321,698.34,1
2618.947,369.774,749.173,1
5063.363,1732.215,951.33,4
2450.507,2722.905,999.426,0
1083.746,4336.916,660.712,1
5930.927,978.082,911.592,4
1340.353,5860.929,518.237,0
5125.065,5681.883,888.948,4
5829.167,3585.0,1234.167,2
828.291,1201.673,1153.745,0
3838.352,3983.448,633.065,0
5049.901,4123.515,1092.673,1
5539.777,1677.178,752.772,1
3811.914,4381.302,616.461,0
1456.572,4357.201,783.836,1
2832.249,750.827,654.317,4
4195.77,2991.516,666.993,1
235.918,2967.62,799.798,4
3356.477,4340.341,649.659,0
2864.757,2420.825,1037.476,0
5473.934,5538.159,1008.782,3
763.441,469.624,885.591,1
5678.07,3034.789,1201.75,3
5957.767,5571.663,706.068,3
1369.833,5924.057,828.807,1
409.224,5385.982,819.132,0
3986.778,4435.444,572.259,0
4435.591,5401.685,874.624,1
714.545,3129.091,673.636,1
3093.723,2528.936,923.617,2
4775.286,5015.714,581.514,0
3227.491,4544.364,579.127,0
4315.138,4204.558,650.083,1
1863.411,1820.198,1074.291,3
6006.82,5328.856,808.633,3
5720.0,1579.247,825.146,1
5901.79,5390.067,1034.295,1
5194.716,2277.793,916.254,0
3204.775,3028.787,664.15,3
3463.362,4759.63,585.728,0
