x,y,z,Class
565.0,1044.148,1032.481,2
2339.747,1240.886,1132.057,0
2511.429,480.0,807.619,2
615.248,5884.541,961.487,3
1285.497,4093.274,632.591,3
812.748,562.691,574.079,0
5478.422,5660.856,1001.878,4
536.338,5199.648,1025.404,3
1112.671,5943.359,455.566,0
3082.518,2718.95,1080.23,1
5020.213,4244.872,791.973,3
69.928,5362.53,555.691,0
4546.785,4603.197,1000.327,3
4646.594,1023.948,467.896,1
349.225,4387.254,639.613,0
1421.215,4837.57,473.209,0
1234.637,1416.69,758.009,4
805.603,2963.582,867.943,0
5038.553,1656.659,993.759,1
5815.688,5910.474,1112.865,3
713.243,3300.755,729.3,4
984.028,881.454,770.454,4
3528.827,6079.586,566.737,1
4130.897,5422.292,501.86,0
2000.686,1232.08,923.473,2
258.592,4183.515,645.803,0
2735.0,4668.447,520.291,0
745.902,4018.275,615.765,0
4683.103,1546.998,899.626,4
5818.377,4480.871,856.064,3
1764.31,4357.96,1082.894,3
3829.926,2129.623,859.549,4
238.655,5198.089,1175.451,3
5632.418,4832.451,852.157,0
3994.606,2797.533,839.291,4
4845.469,5984.182,512.044,1
718.028,4094.611,565.703,0
5775.152,4995.212,878.485,0
5162.937,6250.567,783.617,4
3760.282,4956.3,1186.475,0
3563.17,2650.076,660.386,4
796.253,1232.922,956.509,4
4518.449,4937.775,1036.288,3
2957.199,4845.319,394.858,0
2891.009,1717.577,755.086,4
1152.315,5759.259,463.056,0
2665.353,4810.641,612.019,0
1544.041,3483.215,690.914,1
1744.252,5121.395,462.245,0
4327.26,4594.434,562.929,3
3131.439,1631.365,1285.867,1
2785.126,2361.186,1008.411,4
4765.574,621.401,780.112,0
3111.559,1404.395,597.264,2
348.342,3368.995,520.0,2
2996.667,4730.0,436.667,0
4666.205,5215.513,747.842,3
3870.343,4952.714,1261.6,0
4438.999,4935.4,788.27,3
1452.097,5112.11,1022.865,3
1563.059,6022.91,504.966,3
1808.132,5982.125,1006.52,2
6024.374,5816.326,630.589,4
5689.451,4321.102,893.643,3
4463.183,1681.903,1096.54,2
5786.293,5116.573,858.037,0
2398.017,1136.609,1115.057,0
571.25,4918.854,1019.915,3
1912.78,3850.979,1236.537,0
4335.3,3517.367,1224.1,0
2024.391,3063.731,968.932,3
559.463,4480.427,1114.371,3
6097.154,3365.906,615.748,4
4462.021,6207.162,999.208,3
394.643,2931.786,1176.786,1
5583.535,5055.373,522.266,1
3993.256,185.537,625.067,4
1352.382,4356.122,751.612,3
1358.067,798.14,896.974,1
3472.222,325.556,845.556,1
5901.04,600.347,761.965,1
375.196,4211.727,615.765,0
3192.802,3247.743,1146.425,0
3895.295,4743.936,724.292,4
5021.325,3944.498,1080.0,2
1344.405,5016.071,464.077,0
349.415,5404.185,663.938,0
1304.049,2964.441,1180.928,2
4798.895,4427.67,644.16,3
4438.741,4920.707,515.641,3
3984.278,423.056,725.944,2
5571.34,4880.069,923.814,0
1361.928,5703.278,435.541,0
2720.586,4840.967,1057.297,4
1908.833,229.833,948.167,2
1529.628,5302.061,442.027,0
5164.483,2126.724,1004.655,1
420.204,4238.479,1147.024,3
2431.176,5760.392,683.137,1
1444.336,4663.022,1049.317,3
5931.509,4108.851,866.076,3
4073.83,3599.172,1070.207,2
2957.522,4630.03,489.701,0
737.13,5657.546,451.944,0
2802.396,4464.345,937.859,0
3197.58,5525.735,1296.612,0
3923.75,5790.0,952.5,1
3840.601,1873.09,970.687,1
2640.654,2140.759,734.476,1
1974.574,4645.358,1227.115,3
3491.458,1964.375,301.542,1
368.896,5304.785,611.472,0
5623.065,2769.741,432.341,4
4685.378,4744.749,747.362,3
5670.599,3861.008,454.412,4
92.928,4298.622,1089.994,3
2042.034,923.559,1130.339,1
5695.682,831.818,827.273,2
6095.703,4218.054,560.215,3
1212.736,396.454,913.84,4
1358.159,4893.146,936.164,3
4184.942,666.409,809.653,1
4913.909,2197.738,878.413,2
5252.162,4295.573,849.171,3
457.252,4137.12,505.628,0
1635.436,2052.785,702.483,0
513.851,5639.86,836.039,3
5938.142,4347.523,1016.263,3
5353.462,5348.654,880.096,1
1516.687,4884.498,530.122,0
449.787,3348.949,936.699,4
3443.658,858.443,609.676,4
1882.737,1238.321,1279.672,0
381.507,338.051,836.647,1
616.559,5883.402,685.852,3
